===== Beacon Round @ 0s =====
GW 1 [x=0, y=500, z=15] → ED 17 | Distance: 614.144 m | RSSI: -96.4887 dBm | Packet Size: 16 bytes | Noise: 1.80398 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 18 | Distance: 624.81 m | RSSI: -96.3831 dBm | Packet Size: 16 bytes | Noise: 2.07597 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 19 | Distance: 1473 m | RSSI: -111.261 dBm | Packet Size: 16 bytes | Noise: 0.694756 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 20 | Distance: 761.858 m | RSSI: -103.254 dBm | Packet Size: 16 bytes | Noise: 0.16435 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 21 | Distance: 455.064 m | RSSI: -106.651 dBm | Packet Size: 16 bytes | Noise: 3.6953 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 22 | Distance: 1204.38 m | RSSI: -106.393 dBm | Packet Size: 16 bytes | Noise: 1.25027 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 23 | Distance: 89.6306 m | RSSI: -88.8234 dBm | Packet Size: 16 bytes | Noise: -0.427105 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 26 | Distance: 1308.79 m | RSSI: -108.792 dBm | Packet Size: 16 bytes | Noise: 2.417 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 28 | Distance: 346.152 m | RSSI: -109.799 dBm | Packet Size: 16 bytes | Noise: 0.440311 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 34 | Distance: 891.982 m | RSSI: -102.603 dBm | Packet Size: 16 bytes | Noise: -0.469328 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 36 | Distance: 404.174 m | RSSI: -116.316 dBm | Packet Size: 16 bytes | Noise: 1.92413 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 37 | Distance: 172.553 m | RSSI: -75.1563 dBm | Packet Size: 16 bytes | Noise: 2.52656 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 39 | Distance: 456.774 m | RSSI: -102.124 dBm | Packet Size: 16 bytes | Noise: -0.741527 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 40 | Distance: 325.637 m | RSSI: -104.704 dBm | Packet Size: 16 bytes | Noise: -0.34261 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 42 | Distance: 1232.78 m | RSSI: -111.78 dBm | Packet Size: 16 bytes | Noise: -2.46682 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 43 | Distance: 523.92 m | RSSI: -98.3318 dBm | Packet Size: 16 bytes | Noise: -1.31273 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 46 | Distance: 519.35 m | RSSI: -96.2319 dBm | Packet Size: 16 bytes | Noise: -0.582732 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 50 | Distance: 1207.51 m | RSSI: -107.529 dBm | Packet Size: 16 bytes | Noise: 0.17425 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 53 | Distance: 830.929 m | RSSI: -104.619 dBm | Packet Size: 16 bytes | Noise: -0.735716 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 55 | Distance: 613.196 m | RSSI: -116.056 dBm | Packet Size: 16 bytes | Noise: 1.57766 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 56 | Distance: 308.648 m | RSSI: -107.453 dBm | Packet Size: 16 bytes | Noise: 0.186553 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 58 | Distance: 1264.93 m | RSSI: -113.257 dBm | Packet Size: 16 bytes | Noise: -1.00175 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 59 | Distance: 352.321 m | RSSI: -85.9909 dBm | Packet Size: 16 bytes | Noise: 2.74122 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 61 | Distance: 463.812 m | RSSI: -118.045 dBm | Packet Size: 16 bytes | Noise: 2.23153 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 65 | Distance: 806.041 m | RSSI: -105.684 dBm | Packet Size: 16 bytes | Noise: -1.48199 dBm | Tx power: 14 dBm
